都道府県,年齢,家族数,世帯の年収,住宅面積,所要資金額
北海道,38.4,3.4,524.7,121.6,2758.4
青森県,40.1,3.7,549.1,128.1,2731.8
岩手県,39.7,3.8,550.1,124.6,2787.5
宮城県,40.9,3.7,588,120.1,3151.6
秋田県,40.9,3.5,480.2,120.3,2437.2
山形県,40.9,3.9,589.4,134.7,3127.8
福島県,40.3,3.8,518.8,124.7,2952.7
茨城県,38.9,3.5,546.1,121.1,2875
栃木県,38.8,3.5,527.8,120.4,2803.6
群馬県,38.7,3.4,495.1,116.1,2684.5
埼玉県,39.3,3.2,566.7,102,3108.1
千葉県,39.6,3.2,599.8,106.5,3137.2
東京都,40.8,3,755.5,84.4,4257.2
神奈川県,40.1,3.1,632.2,93.4,3576.7
新潟県,38,3.5,533.9,125.7,2802.5
富山県,37,3.4,556,133.2,2858.1
石川県,38,3.4,562.1,128.4,3124.9
福井県,38.9,3.6,560.7,128.4,3004.8
山梨県,38.6,3.5,555.7,121.8,2905
長野県,41.1,3.5,682.9,121.6,2961.9
岐阜県,37.6,3.5,525.7,123.3,2888.1
静岡県,40.4,3.6,594.5,118.4,3213.3
愛知県,39.1,3.4,594.8,117.2,3355.8
三重県,38.5,3.3,537,123,3062.5
滋賀県,38.7,3.2,543.9,116.8,3063.5
京都府,40.2,3.2,677.4,103.7,3295
大阪府,40.7,3,635.3,93.3,3310
兵庫県,39.8,3.2,612.2,105.9,3276.8
奈良県,40.1,3.4,560.9,113.6,3076.3
和歌山県,39.5,3.4,531.2,120.2,2899
鳥取県,38.7,3.5,454.7,114.3,2469
島根県,39.2,3.4,478.5,112.5,2753.1
岡山県,38,3.5,564.7,120.5,3221.8
広島県,38.3,3.5,585.1,115.2,3178.8
山口県,38.9,3.3,555.1,115,2923.6
徳島県,37.6,3.5,502.4,119.7,2602.6
香川県,36.9,3.4,524.1,123.8,2853.4
愛媛県,39,3.5,566.7,117.8,2985.8
高知県,37.6,3.5,582.3,118.3,3000.3
福岡県,39.3,3.5,565.5,111.8,3010.9
佐賀県,38.7,3.7,537,122.5,2863.5
長崎県,39.8,3.4,560.5,115,2861.7
熊本県,40.1,3.6,527,115.3,2751.7
大分県,38.2,3.5,514.1,114.1,2794.4
宮崎県,38.4,3.5,495,113.1,2465.8
鹿児島県,37.1,3.6,504.1,110.4,2691.1
沖縄県,40.1,3.8,708.5,110.6,3206.1
